data	stato	codice_regione	denominazione_regione	lat	long	ricoverati_con_sintomi	terapia_intensiva	totale_ospedalizzati	isolamento_domiciliare	totale_attualmente_positivi	nuovi_attualmente_positivi	dimessi_guariti	deceduti	totale_casi	tamponi	note_it	note_en	
2020-02-24T18:00:00	ITA	18	Calabria	38.90597598	16.59440194	0	0	0	0	0	0	0	0	0	1			
2020-02-25T18:00:00	ITA	18	Calabria	38.90597598	16.59440194	0	0	0	0	0	0	0	0	0	2			
2020-02-26T18:00:00	ITA	18	Calabria	38.90597598	16.59440194	0	0	0	0	0	0	0	0	0	3			
2020-02-27T18:00:00	ITA	18	Calabria	38.90597598	16.59440194	0	0	0	0	0	0	0	0	0	14			
2020-02-28T18:00:00	ITA	18	Calabria	38.90597598	16.59440194	0	0	0	1	1	1	0	0	1	21			
2020-02-29T17:00:00	ITA	18	Calabria	38.90597598	16.59440194	0	0	0	1	1	0	0	0	1	27			
2020-03-01T17:00:00	ITA	18	Calabria	38.90597598	16.59440194	0	0	0	1	1	0	0	0	1	35			
2020-03-02T18:00:00	ITA	18	Calabria	38.90597598	16.59440194	0	0	0	1	1	0	0	0	1	39			
2020-03-03T18:00:00	ITA	18	Calabria	38.90597598	16.59440194	0	0	0	1	1	0	0	0	1	39			
2020-03-04T17:00:00	ITA	18	Calabria	38.90597598	16.59440194	0	0	0	1	1	0	0	0	1	46			
2020-03-05T17:00:00	ITA	18	Calabria	38.90597598	16.59440194	1	0	1	1	2	1	0	0	2	53			
2020-03-06T17:00:00	ITA	18	Calabria	38.90597598	16.59440194	2	0	2	2	4	2	0	0	4	99			
2020-03-07T18:00:00	ITA	18	Calabria	38.90597598	16.59440194	2	0	2	2	4	0	0	0	4	113			
2020-03-08T18:00:00	ITA	18	Calabria	38.90597598	16.59440194	5	0	5	4	9	5	0	0	9	113			
2020-03-09T18:00:00	ITA	18	Calabria	38.90597598	16.59440194	8	0	8	1	9	0	2	0	11	173			
2020-03-10T18:00:00	ITA	18	Calabria	38.90597598	16.59440194	8	2	10	1	11	2	2	0	13	360			
2020-03-11T17:00:00	ITA	18	Calabria	38.90597598	16.59440194	10	2	12	5	17	6	2	0	19	405			
2020-03-12T17:00:00	ITA	18	Calabria	38.90597598	16.59440194	14	2	16	16	32	15	1	0	33	483			
2020-03-13T17:00:00	ITA	18	Calabria	38.90597598	16.59440194	18	3	21	16	37	5	1	0	38	504			
2020-03-14T17:00:00	ITA	18	Calabria	38.90597598	16.59440194	22	4	26	33	59	22	1	0	60	711			
2020-03-15T17:00:00	ITA	18	Calabria	38.90597598	16.59440194	32	6	38	28	66	7	1	1	68	884			
2020-03-16T17:00:00	ITA	18	Calabria	38.90597598	16.59440194	36	7	43	44	87	21	1	1	89	1030			
2020-03-17T17:00:00	ITA	18	Calabria	38.90597598	16.59440194	45	10	55	57	112	25	1	1	114	1293			
2020-03-18T17:00:00	ITA	18	Calabria	38.90597598	16.59440194	45	11	56	70	126	14	2	1	129	1668			
2020-03-19T17:00:00	ITA	18	Calabria	38.90597598	16.59440194	60	13	73	91	164	38	2	3	169	2342			
2020-03-20T17:00:00	ITA	18	Calabria	38.90597598	16.59440194	71	16	87	114	201	37	2	4	207	2690			
2020-03-21T17:00:00	ITA	18	Calabria	38.90597598	16.59440194	73	16	89	136	225	24	5	5	235	3050			
2020-03-22T17:00:00	ITA	18	Calabria	38.90597598	16.59440194	77	17	94	166	260	35	5	8	273	3666			
2020-03-23T17:00:00	ITA	18	Calabria	38.90597598	16.59440194	82	20	102	178	280	20	5	7	292	4073			
2020-03-24T17:00:00	ITA	18	Calabria	38.90597598	16.59440194	88	21	109	195	304	24	5	10	319	4486			
2020-03-25T17:00:00	ITA	18	Calabria	38.90597598	16.59440194	93	23	116	217	333	29	7	11	351	5058			
2020-03-26T17:00:00	ITA	18	Calabria	38.90597598	16.59440194	101	23	124	248	372	39	7	14	393	5933			
